"Year","Ethnicity","Sex","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2013","Non-Hispanic","Females","5 to 9","30","7,556,172","0.40","--","1,761"
"2013","Non-Hispanic","Females","10 to 14","16**","7,764,765","0.21**","--","854"
"2013","Non-Hispanic","Females","15 to 19","28","8,096,917","0.35","--","1,334"
"2013","Hispanic","Males","0 to 4","56","2,567,811","2.18","--","3,525"
"2013","Hispanic","Males","5 to 9","--","2,614,971","--","--","--"
"2013","Hispanic","Males","10 to 14","--","2,426,830","--","--","--"
"2013","Hispanic","Males","15 to 19","38","2,351,895","1.62","--","1,818"
"2013","Hispanic","Females","0 to 4","23","2,474,140","0.93","--","1,454"
"2013","Hispanic","Females","5 to 9","--","2,512,756","--","--","--"
"2013","Hispanic","Females","10 to 14","--","2,344,979","--","--","--"
"2013","Hispanic","Females","15 to 19","--","2,235,644","--","--","--"
"2013","Unknown","Males","0 to 4","--","--","--","--","--"
"2012","Non-Hispanic","Males","0 to 4","250","7,613,040","3.28","--","15,744"
"2012","Non-Hispanic","Males","5 to 9","90","7,894,904","1.14","--","5,266"
"2012","Non-Hispanic","Males","10 to 14","62","8,171,711","0.76","--","3,261"
"2012","Non-Hispanic","Males","15 to 19","200","8,616,194","2.32","--","9,555"
"2012","Non-Hispanic","Females","0 to 4","141","7,278,625","1.94","--","8,912"
"2012","Non-Hispanic","Females","5 to 9","33","7,555,896","0.44","--","1,924"
"2012","Non-Hispanic","Females","10 to 14","23","7,807,356","0.30","--","1,221"
"2012","Non-Hispanic","Females","15 to 19","20**","8,192,788","0.24**","--","966"
"2012","Hispanic","Males","0 to 4","40","2,593,855","1.54","--","2,519"
"2012","Hispanic","Males","5 to 9","14**","2,559,660","0.55**","--","814"
"2012","Hispanic","Males","10 to 14","14**","2,390,543","0.59**","--","742"
"2012","Hispanic","Males","15 to 19","39","2,346,793","1.66","--","1,851"
"2012","Hispanic","Females","0 to 4","26","2,495,416","1.04","--","1,647"
"2012","Hispanic","Females","5 to 9","--","2,462,219","--","--","--"
"2012","Hispanic","Females","10 to 14","--","2,304,233","--","--","--"
"2012","Hispanic","Females","15 to 19","--","2,218,245","--","--","--"
"2012","Unknown","Males","0 to 4","--","--","--","--","--"
"2012","Unknown","Males","10 to 14","--","--","--","--","--"
"2012","Unknown","Males","15 to 19","--","--","--","--","--"
"2012","Unknown","Females","10 to 14","--","--","--","--","--"
"2011","Non-Hispanic","Males","0 to 4","245","7,665,228","3.20","--","15,451"
"2011","Non-Hispanic","Males","5 to 9","76","7,884,266","0.96","--","4,453"
"2011","Non-Hispanic","Males","10 to 14","67","8,230,004","0.81","--","3,528"
"2011","Non-Hispanic","Males","15 to 19","183","8,769,036","2.09","--","8,711"
"2011","Non-Hispanic","Females","0 to 4","124","7,330,088","1.69","--","7,835"
"2011","Non-Hispanic","Females","5 to 9","30","7,548,727","0.40","--","1,742"
"2011","Non-Hispanic","Females","10 to 14","18**","7,860,668","0.23**","--","950"
"2011","Non-Hispanic","Females","15 to 19","17**","8,330,742","0.20**","--","817"
"2011","Hispanic","Males","0 to 4","80","2,616,111","3.06","--","5,042"
"2011","Hispanic","Males","5 to 9","16**","2,498,622","0.64**","--","933"
"2011","Hispanic","Males","10 to 14","15**","2,357,912","0.64**","--","779"
"2011","Hispanic","Males","15 to 19","40","2,351,977","1.70","--","1,901"
"2011","Hispanic","Females","0 to 4","41","2,514,784","1.63","--","2,610"
"2011","Hispanic","Females","5 to 9","--","2,403,874","--","--","--"
"2011","Hispanic","Females","10 to 14","--","2,266,442","--","--","--"
"2011","Hispanic","Females","15 to 19","--","2,209,988","--","--","--"
"2010","Non-Hispanic","Males","0 to 4","251","7,710,103","3.26","--","15,837"
"2010","Non-Hispanic","Males","5 to 9","92","7,947,027","1.16","--","5,351"
"2010","Non-Hispanic","Males","10 to 14","77","8,267,615","0.93","--","4,031"
"2010","Non-Hispanic","Males","15 to 19","224","8,958,293","2.50","--","10,710"
"2010","Non-Hispanic","Females","0 to 4","137","7,376,828","1.86","--","8,661"
"2010","Non-Hispanic","Females","5 to 9","27","7,610,937","0.36","--","1,581"
"2010","Non-Hispanic","Females","10 to 14","19**","7,884,499","0.24**","--","1,011"
"2010","Non-Hispanic","Females","15 to 19","23","8,550,931","0.27","--","1,100"
"2010","Hispanic","Males","0 to 4","61","2,609,349","2.34","--","3,848"
"2010","Hispanic","Males","5 to 9","--","2,442,648","--","--","--"
"2010","Hispanic","Males","10 to 14","15**","2,312,360","0.65**","--","783"
"2010","Hispanic","Males","15 to 19","49","2,346,218","2.09","--","2,320"
"2010","Hispanic","Females","0 to 4","25","2,505,146","1.00","--","1,581"
"2010","Hispanic","Females","5 to 9","--","2,348,132","--","--","--"
"2010","Hispanic","Females","10 to 14","--","2,212,903","--","--","--"
"2010","Hispanic","Females","15 to 19","--","2,186,105","--","--","--"
"2010","Unknown","Males","5 to 9","--","--","--","--","--"
"2010","Unknown","Males","15 to 19","--","--","--","--","--"
"2010","Unknown","Females","0 to 4","--","--","--","--","--"
"Total","","","","12,963","1,151,604,575","1.13","1.13","744,007"
"","","","","","","","",""
"Injury Outcome: Fatal","","","","","","","",""
"Injury Type: All Injury","","","","","","","",""
"Data Years: 2010 to 2023","","","","","","","",""
"Geography: United States","","","","","","","",""
"Intent: Unintentional","","","","","","","",""
"Mechanism: Drowning (excludes water transport)","","","","","","","",""
"Age: 0 to 4 through 15 to 19","","","","","","","",""
"Sex: All Sexes","","","","","","","",""
"Race: All Races","","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","","",""
"YPLL Age: 65","","","","","","","",""
"Year and Race Options: 2001 - 2023 with No Race","","","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","","","",""
"--* indicates secondary suppression.","","","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","","","",""
"Data sources:","","","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","",""
